,Unnamed: 0,Unnamed: 0.1,country,totalCases,newCases,totalDeaths,newDeaths,totalRecovered,activeCases,seriousCritical,casesPerMil,deathsPerMil,totalTests,testsPerMil,population,alpha2,latitude,longitude
112,112,123,Thailand,3304.0,6.0,58.0,0.0,3111.0,135.0,1.0,47.0,0.8,717814.0,10282.0,69814077.0,ML,14.8971921,100.83273
113,113,127,Libya,3222.0,0.0,76.0,0.0,596.0,2550.0,0.0,468.0,11.0,50034.0,7274.0,6878310.0,SK,26.8234472,18.1236723
114,114,128,Somalia,3212.0,0.0,93.0,0.0,1562.0,1557.0,2.0,202.0,6.0,0.0,0.0,15923283.0,SI,8.3676771,49.083416
115,115,129,Congo,3200.0,0.0,54.0,0.0,829.0,2317.0,0.0,579.0,10.0,0.0,0.0,5527528.0,EE,-0.7264327,15.6419155
116,116,130,Hong Kong,3152.0,149.0,24.0,0.0,1660.0,1468.0,39.0,420.0,3.0,524969.0,69980.0,7501713.0,LT,,
117,117,131,Equatorial Guinea,3071.0,0.0,51.0,0.0,842.0,2178.0,0.0,2184.0,36.0,16000.0,11380.0,1405989.0,GW,1.613172,10.5170357
118,118,132,Rwanda,1926.0,47.0,5.0,0.0,1005.0,916.0,0.0,148.0,0.4,251815.0,19411.0,12972747.0,RW,-1.9646631,30.0644358
119,119,133,Mayotte,2905.0,0.0,39.0,0.0,2672.0,194.0,1.0,10630.0,143.0,13000.0,47571.0,273274.0,IS,,
120,120,134,Zimbabwe,2879.0,0.0,41.0,0.0,887.0,1951.0,0.0,193.0,3.0,126708.0,8516.0,14879072.0,,-18.4554963,29.7468414
121,121,135,Sri Lanka,2810.0,0.0,11.0,0.0,2317.0,482.0,1.0,131.0,0.5,155540.0,7261.0,21420404.0,SL,7.5554942,80.7137847
122,122,136,Cuba,2588.0,0.0,87.0,0.0,2353.0,148.0,1.0,228.0,8.0,256996.0,22691.0,11326049.0,BJ,23.0131338,-80.8328748
123,123,137,Eswatini,2551.0,0.0,40.0,0.0,1070.0,1441.0,5.0,2197.0,34.0,20784.0,17900.0,1161086.0,MZ,-26.5624806,31.3991317
124,124,138,Yemen,1703.0,12.0,484.0,1.0,840.0,379.0,0.0,57.0,16.0,120.0,4.0,29868907.0,YE,16.3471243,47.8915271
125,125,139,New Zealand,1557.0,1.0,22.0,0.0,1514.0,21.0,0.0,311.0,4.0,457334.0,91428.0,5002100.0,NZ,-41.5000831,172.8344077
126,126,140,Suriname,1510.0,27.0,24.0,0.0,965.0,521.0,11.0,2572.0,41.0,1331.0,2267.0,587010.0,SR,4.1413025,-56.0771187
127,127,141,Slovakia,2265.0,20.0,28.0,0.0,1675.0,562.0,2.0,415.0,5.0,257535.0,47169.0,5459857.0,TN,48.7411522,19.4528646
128,128,142,Slovenia,2115.0,0.0,117.0,0.0,1761.0,237.0,3.0,1017.0,56.0,129733.0,62403.0,2078961.0,LV,45.8133113,14.4808369
129,129,143,Lithuania,2062.0,19.0,80.0,0.0,1643.0,339.0,6.0,758.0,29.0,515797.0,189705.0,2718945.0,UY,55.3500003,23.7499997
130,130,144,Estonia,2051.0,9.0,69.0,0.0,1926.0,56.0,1.0,1546.0,52.0,118574.0,89381.0,1326608.0,JO,58.7523778,25.3319078
131,131,145,Namibia,1986.0,0.0,9.0,0.0,104.0,1873.0,24.0,781.0,4.0,24852.0,9768.0,2544257.0,LR,-23.2335499,17.3231107
132,132,146,Rwanda,1963.0,0.0,5.0,0.0,1036.0,922.0,0.0,151.0,0.4,255959.0,19728.0,12974507.0,GE,-1.9646631,30.0644358
133,133,147,Guinea-Bissau,1954.0,0.0,26.0,0.0,803.0,1125.0,5.0,991.0,13.0,1500.0,761.0,1971258.0,UG,12.100035,-14.9000214
134,134,148,Iceland,1861.0,0.0,10.0,0.0,1823.0,28.0,0.0,5451.0,29.0,128907.0,377565.0,341417.0,NE,64.9841821,-18.1059013
135,135,149,Benin,1805.0,0.0,36.0,0.0,1036.0,733.0,1.0,149.0,3.0,85863.0,7070.0,12145012.0,BF,9.5293472,2.2584408
136,136,150,Sierra Leone,1803.0,0.0,67.0,0.0,1355.0,381.0,0.0,226.0,8.0,0.0,0.0,7988617.0,CY,8.6400349,-11.8400269
137,137,151,Mozambique,1748.0,0.0,11.0,0.0,616.0,1121.0,0.0,56.0,0.4,55211.0,1763.0,31314748.0,AO,-19.302233,34.9144977
138,138,152,Yemen,1711.0,0.0,485.0,0.0,849.0,377.0,0.0,57.0,16.0,120.0,4.0,29872505.0,TD,16.3471243,47.8915271
139,139,153,Suriname,1607.0,0.0,26.0,0.0,1003.0,578.0,11.0,2737.0,44.0,1619.0,2758.0,587039.0,AD,4.1413025,-56.0771187
140,140,154,New Zealand,1560.0,1.0,22.0,0.0,1514.0,24.0,0.0,312.0,4.0,462590.0,92479.0,5002100.0,TG,-41.5000831,172.8344077
141,141,155,Tunisia,1488.0,0.0,50.0,0.0,1178.0,260.0,3.0,126.0,4.0,91256.0,7715.0,11828099.0,ST,33.8439408,9.400138
142,142,156,Uruguay,1237.0,0.0,35.0,0.0,967.0,235.0,6.0,356.0,10.0,109311.0,31459.0,3474694.0,JM,-32.8755548,-56.0201525
143,143,157,Latvia,1228.0,4.0,31.0,0.0,1052.0,145.0,0.0,652.0,16.0,197035.0,104562.0,1884389.0,BW,56.8406494,24.7537645
144,144,160,Jordan,1187.0,0.0,11.0,0.0,1049.0,127.0,3.0,116.0,1.0,585469.0,57338.0,10210926.0,MT,31.1667049,36.941628
145,145,161,Liberia,1179.0,0.0,72.0,0.0,664.0,443.0,0.0,233.0,14.0,0.0,0.0,5066013.0,SM,5.7499721,-9.3658524
146,146,163,Georgia,1160.0,5.0,17.0,0.0,935.0,208.0,5.0,291.0,4.0,214043.0,53665.0,3988535.0,RE,41.6809707,44.0287382
147,147,166,Uganda,1140.0,0.0,2.0,0.0,1028.0,110.0,0.0,25.0,0.04,266856.0,5822.0,45836124.0,LS,1.5333554,32.2166578
148,148,169,Niger,1132.0,0.0,69.0,0.0,1027.0,36.0,0.0,47.0,3.0,9052.0,373.0,24262163.0,GY,17.7356214,9.3238432
149,149,170,Burkina Faso,1105.0,0.0,53.0,0.0,931.0,121.0,0.0,53.0,3.0,0.0,0.0,20942277.0,BS,12.0753083,-1.6880314
150,150,171,Cyprus,1080.0,0.0,19.0,0.0,852.0,209.0,0.0,894.0,16.0,196479.0,162642.0,1208046.0,BI,34.9823018,33.1451285
151,151,172,Angola,1078.0,0.0,48.0,0.0,301.0,729.0,15.0,33.0,1.0,59052.0,1793.0,32933849.0,KM,-11.8775768,17.5691241
152,152,173,Chad,926.0,0.0,75.0,0.0,813.0,38.0,0.0,56.0,5.0,0.0,0.0,16457621.0,MM,15.6134137,19.0156172
153,153,174,Andorra,918.0,0.0,52.0,0.0,804.0,62.0,0.0,11880.0,673.0,3750.0,48528.0,77275.0,MU,42.5407167,1.5732033
154,154,175,Togo,896.0,0.0,18.0,0.0,612.0,266.0,2.0,108.0,2.0,41245.0,4974.0,8292330.0,IM,8.7800265,1.0199765
155,155,176,Sao Tome and Principe,868.0,0.0,15.0,0.0,766.0,87.0,0.0,3955.0,68.0,2858.0,13023.0,219455.0,GM,0.8875498,6.9648718
156,156,177,Jamaica,856.0,1.0,10.0,0.0,724.0,122.0,0.0,289.0,3.0,37527.0,12669.0,2962196.0,MN,18.1850507,-77.3947693
157,157,178,Botswana,804.0,0.0,2.0,0.0,63.0,739.0,1.0,341.0,0.8,68423.0,29054.0,2355036.0,MQ,-23.1681782,24.5928742
158,158,179,Eritrea,265.0,0.0,0.0,0.0,191.0,74.0,0.0,75.0,0.0,0.0,0.0,3549833.0,ER,15.9500319,37.9999668
159,159,180,Cambodia,226.0,1.0,0.0,0.0,147.0,79.0,1.0,14.0,0.0,60029.0,3587.0,16735052.0,KH,13.5066394,104.869423
160,160,182,Syria,717.0,0.0,40.0,0.0,229.0,448.0,0.0,41.0,2.0,0.0,0.0,17530281.0,GP,34.6401861,39.0494106
161,161,183,Diamond Princess,712.0,0.0,13.0,0.0,651.0,48.0,4.0,0.0,0.0,0.0,0.0,0.0,KY,,
162,162,184,Gibraltar,186.0,1.0,0.0,0.0,180.0,6.0,0.0,5521.0,0.0,20142.0,597863.0,33690.0,GI,36.10674695,-5.335277183483561
163,163,185,Réunion,657.0,0.0,4.0,0.0,592.0,61.0,4.0,733.0,4.0,35419.0,39538.0,895812.0,BM,,
164,164,186,Trinidad and Tobago,153.0,5.0,8.0,0.0,128.0,17.0,0.0,109.0,6.0,6801.0,4858.0,1399827.0,TT,10.8677845,-60.9821067
165,165,188,Aruba,119.0,0.0,3.0,0.0,102.0,14.0,0.0,1114.0,28.0,10421.0,97575.0,106800.0,AW,,
166,166,189,Tanzania,509.0,0.0,21.0,0.0,183.0,305.0,7.0,9.0,0.4,0.0,0.0,59849045.0,MC,-6.5247123,35.7878438
167,167,191,Seychelles,114.0,0.0,0.0,0.0,39.0,75.0,0.0,1159.0,0.0,0.0,0.0,98392.0,SC,-4.6574977,55.4540146
168,168,192,Barbados,110.0,0.0,7.0,0.0,94.0,9.0,0.0,383.0,24.0,10641.0,37025.0,287402.0,BB,13.1500331,-59.5250305
169,169,194,Vietnam,459.0,0.0,0.0,0.0,369.0,90.0,0.0,5.0,0.0,275000.0,2823.0,97406346.0,BT,13.2904027,108.4265113
170,170,195,Guyana,398.0,0.0,20.0,0.0,185.0,193.0,4.0,506.0,25.0,4563.0,5799.0,786853.0,AG,4.8417097,-58.6416891
171,171,196,Burundi,387.0,0.0,1.0,0.0,304.0,82.0,0.0,32.0,0.08,14362.0,1205.0,11914441.0,LI,-3.3634357,29.8870575
172,172,197,Comoros,378.0,0.0,7.0,0.0,330.0,41.0,0.0,434.0,8.0,0.0,0.0,870920.0,PG,-12.2045176,44.2832964
